Site ID,Latitude,Longitude,Elevation in Meters,State,Species ID,Genus,Species,Common Name,Kingdom,Species Functional Type,Species Category,Phenophase ID,Phenophase Category,Phenophase Description,First Yes Sample Size,Year,Month,Tmax Winter,Tmax Spring,Tmax Summer,Tmax Fall,Tmin Winter,Tmin Spring,Tmin Summer,Tmin Fall,Prcp Winter,Prcp Spring,Prcp Summer,Prcp Fall,Mean Accu  Prcp,SE Accum Prcp,Mean Daylength,SE Daylength
2312,42.322002,-70.987312,13,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,186,Flowers,Full flowering (50%),1,2010,June,3.42,16.72,28.15,16.65,-4.73,5.97,17.12,7.21,333,560,289,349,828,-9999,54259,-9999
2312,42.322002,-70.987312,13,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,0,NA,NA,3.42,16.72,28.15,16.65,-4.73,5.97,17.12,7.21,333,560,289,349,-9999,-9999,-9999,-9999
2313,42.318607,-71.009399,1,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),0,NA,NA,3.43,16.78,28.2,16.66,-4.77,5.95,17.05,7.15,331,565,283,350,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,NA,NA,3.58,16.73,28.14,16.72,-4.68,5.96,17.14,7.4,377,569,300,398,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,0,NA,NA,3.58,16.73,28.14,16.72,-4.68,5.96,17.14,7.4,377,569,300,398,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,186,Flowers,Full flowering (50%),2,2010,June,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),3,2010,August,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,186,Flowers,Full flowering (50%),3,2010,June,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,3,2010,June,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2317,42.267677,-70.921326,2,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",501,Flowers,Open flowers,0,NA,NA,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,-9999,-9999,-9999,-9999
2317,42.267677,-70.921326,2,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,NA,NA,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,-9999,-9999,-9999,-9999
2317,42.267677,-70.921326,2,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),1,2010,August,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,935,-9999,49421,-9999
5096,43.009151,-73.649406,104,NY,26,Podophyllum,peltatum,mayapple,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,May,0.68,17.74,28.1,15.74,-7.76,3.79,15.16,4.49,215,182,329,261,300,-9999,51494,-9999
5841,44.229458,-122.203674,643,OR,19,Linnaea,borealis,twinflower,Plantae,Evergreen forb,-9999,201,Flowers,Open flowers (1 location),1,2010,June,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,1251,-9999,54950,-9999
5841,44.229458,-122.203674,643,OR,193,Trillium,ovatum,Pacific trillium,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,April,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,748,-9999,48384,-9999
5841,44.229458,-122.203674,643,OR,1059,Vaccinium,parvifolium,red huckleberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,1,2010,April,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,777,-9999,49421,-9999
5841,44.229458,-122.203674,643,OR,1151,Coptis,laciniata,Oregon goldthread,Plantae,Forb,-9999,201,Flowers,Open flowers (1 location),1,2010,March,7.07,12.82,24.74,15.13,0.11,2.14,9.23,4.32,551,678,230,523,437,-9999,42509,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,500,Flowers,Flowers or flower buds,0,NA,NA,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,2,2011,July,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,683,0,53568,0
2315,42.280136,-70.901215,0,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,2,2011,August,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,853,0,48384,0
2315,42.280136,-70.901215,0,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",500,Flowers,Flowers or flower buds,1,2011,August,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,806,-9999,50112,-9999
2315,42.280136,-70.901215,0,MA,314,Rosa,rugosa,rugosa rose,Plantae,Deciduous broadleaf,"Ornamental,Invasive Plants",501,Flowers,Open flowers,1,2011,August,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,806,-9999,50112,-9999
2315,42.280136,-70.901215,0,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,500,Flowers,Flowers or flower buds,0,NA,NA,3.01,14.03,26.68,17.65,-6.19,4.57,16.71,8.03,358,279,378,282,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,3,Acer,rubrum,red maple,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",502,Flowers,Pollen release (flowers),1,2011,July,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",500,Flowers,Flowers or flower buds,0,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",501,Flowers,Open flowers,0,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,500,Flowers,Flowers or flower buds,1,2011,July,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,2,2011,July,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,199,Asclepias,syriaca,common milkweed,Plantae,Forb,Nectar Connectors Campaign,500,Flowers,Flowers or flower buds,0,NA,NA,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
