Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
2312,42.322002,-70.987312,13,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,186,Flowers,Full flowering (50%),1,2010,170,2455367,-9999,-9999,12,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1466.25,-9999,2639.25,-9999,3.42,16.72,28.15,16.65,-4.73,5.97,17.12,7.21,333,560,289,349,828,-9999,54259,-9999
2312,42.322002,-70.987312,13,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2010,158,2455355,-9999,-9999,12,-9999,-9999,0,'',-9999,-9999,-9999,-9999,3.42,16.72,28.15,16.65,-4.73,5.97,17.12,7.21,333,560,289,349,-9999,-9999,-9999,-9999
2313,42.318607,-71.009399,1,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2010,266,2455463,-9999,-9999,23,-9999,-9999,0,'',-9999,-9999,-9999,-9999,3.43,16.78,28.2,16.66,-4.77,5.95,17.05,7.15,331,565,283,350,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,2010,168,2455365,0,0,22,0,0,0,'',-9999,-9999,-9999,-9999,3.58,16.73,28.14,16.72,-4.68,5.96,17.14,7.4,377,569,300,398,-9999,-9999,-9999,-9999
2315,42.280136,-70.901215,0,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,2010,168,2455365,0,0,22,0,0,0,'',-9999,-9999,-9999,-9999,3.58,16.73,28.14,16.72,-4.68,5.96,17.14,7.4,377,569,300,398,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,186,Flowers,Full flowering (50%),2,2010,177,2455374,0,0,7,0,0,3,2010,177,2455374,4.04145188433,7,6,1,1.73205080757,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,90,Sambucus,nigra,black elderberry,Plantae,Deciduous broadleaf,Ornamental,501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,2010,182,2455379,3.21455025366,5.56776436283,6.66666666667,2.0275875101,3.51188458428,0,'',-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2316,42.326572,-70.926453,6,MA,299,Solidago,rugosa,wrinkleleaf goldenrod,Plantae,Forb,Nectar Connectors Campaign,201,Flowers,Open flowers (1 location),3,2010,238,2455435,7.44610263456,12.8970280814,8,2.08166599947,3.60555127546,1,2010,266,2455463,-9999,-9999,9,-9999,-9999,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,186,Flowers,Full flowering (50%),3,2010,177,2455374,0,0,7,0,0,3,2010,177,2455374,0,0,4,0,0,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2316,42.326572,-70.926453,6,MA,315,Rhus,typhina,staghorn sumac,Plantae,Deciduous broadleaf,-9999,501,Flowers,Open flowers,3,2010,177,2455374,0,0,7,0,0,3,2010,178,2455375,1.33333333333,2.30940107676,3.66666666667,0.333333333333,0.57735026919,0,'',-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,0
2317,42.267677,-70.921326,2,MA,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",501,Flowers,Open flowers,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2,2010,105,2455302,0,0,16,0,0,0,'',-9999,-9999,-9999,-9999,3.57,16.76,28.22,16.75,-4.73,5.93,17.15,7.34,358,566,296,381,-9999,-9999,-9999,-9999
